Name,City,State,Size_MW,Score_Default,Classification,Score_Best_Case,Score_Worst_Case,Score_Range,Missing_Inputs,PUE_Low_Score,PUE_High_Score,Growth_Low_Score,Growth_High_Score,OPEX_Low_Score,OPEX_High_Score,Data_Collection_Priority
Cyrus One DUB 1,Ballybane,,54.0,80.47,Excellent,85.89,67.03,18.86,baseline_pue; load_growth_rate; energy_pct_opex,73.67,80.54,77.05,83.83,78.47,82.47,HIGH
Google Dublin 2,Dublin,Leinster,60.0,78.92,Excellent,85.92,67.09,18.83,baseline_pue; load_growth_rate; energy_pct_opex,72.13,78.97,75.5,82.27,78.52,82.52,HIGH
SEA10,Seattle,WA,19.5,55.99,Good,64.79,45.97,18.82,baseline_pue; load_growth_rate; energy_pct_opex,51.98,58.62,51.89,60.08,53.99,57.99,HIGH
Echelon DUB10,Dublin,Leinster,90.0,82.25,Excellent,86.03,67.27,18.76,baseline_pue; load_growth_rate; energy_pct_opex,75.5,82.29,78.83,85.6,78.65,82.65,HIGH
Evolution DC Bangkok,Bangkok,,52.0,60.71,Good,69.63,50.87,18.76,baseline_pue; load_growth_rate; energy_pct_opex,56.82,63.42,56.61,64.81,58.71,62.71,HIGH
Echelon DUB20,Arklow,Leinster,100.0,82.28,Excellent,86.05,67.3,18.75,baseline_pue; load_growth_rate; energy_pct_opex,75.54,82.31,78.86,85.62,78.68,82.68,HIGH
QTS PHX2,Phoenix,AZ,30.0,58.56,Good,67.38,48.7,18.68,baseline_pue; load_growth_rate; energy_pct_opex,54.67,61.2,54.47,62.65,56.56,60.56,HIGH
CyrusOne PHX8,Chandler,AZ,30.0,58.56,Good,67.38,48.7,18.68,baseline_pue; load_growth_rate; energy_pct_opex,54.67,61.2,54.47,62.65,56.56,60.56,HIGH
Aligned PHX-01,Phoenix,AZ,30.0,58.56,Good,67.38,48.7,18.68,baseline_pue; load_growth_rate; energy_pct_opex,54.67,61.2,54.47,62.65,56.56,60.56,HIGH
Equinix HE7,Espoo,,15.0,51.4,Good,60.0,41.33,18.67,baseline_pue; load_growth_rate; energy_pct_opex,47.38,53.9,47.32,55.46,49.4,53.4,HIGH
Vantage AZ12,Goodyear,AZ,32.0,58.69,Good,67.48,48.87,18.61,baseline_pue; load_growth_rate; energy_pct_opex,54.84,61.31,54.6,62.77,56.69,60.69,HIGH
Vantage AZ13,Goodyear,AZ,32.0,58.69,Good,67.48,48.87,18.61,baseline_pue; load_growth_rate; energy_pct_opex,54.84,61.31,54.6,62.77,56.69,60.69,HIGH
