Name,City,State,Size_MW,Score_Default,Classification,Score_Best_Case,Score_Worst_Case,Score_Range,Missing_Inputs,PUE_Low_Score,PUE_High_Score,Growth_Low_Score,Growth_High_Score,OPEX_Low_Score,OPEX_High_Score,Data_Collection_Priority
Cologix MTL10,Montreal,Quebec,35.0,41.58,Moderate,48.96,32.7,16.26,baseline_pue; load_growth_rate; energy_pct_opex,38.62,43.17,37.73,45.39,39.58,43.58,HIGH
Red Oak,Red Oak,TX,360.0,56.82,Good,64.58,48.51,16.07,baseline_pue; load_growth_rate; energy_pct_opex,54.25,58.65,52.97,60.67,54.82,58.82,HIGH
Hayes,London,N/A,12.0,79.16,Excellent,84.8,68.85,15.95,baseline_pue; load_growth_rate; energy_pct_opex,75.75,79.4,75.74,82.57,77.16,81.16,HIGH
Bell Aliant Halifax,Halifax,Nova Scotia,1.0,33.43,Moderate,39.5,23.65,15.85,baseline_pue; load_growth_rate; energy_pct_opex,30.97,35.19,29.6,37.26,29.83,33.83,HIGH
Equinix HE2,Helsinki,Uusimaa,1.0,31.77,Moderate,39.43,23.61,15.82,baseline_pue; load_growth_rate; energy_pct_opex,29.32,33.52,27.95,35.6,29.77,33.77,HIGH
Qu Edmonton 1,Edmonton,Alberta,49.0,52.1,Good,59.6,43.84,15.76,baseline_pue; load_growth_rate; energy_pct_opex,49.6,53.75,48.29,55.91,50.1,54.1,HIGH
Echelon LCY10,London,N/A,17.0,81.28,Excellent,85.23,69.55,15.68,baseline_pue; load_growth_rate; energy_pct_opex,78.02,81.45,77.88,84.66,77.68,81.68,HIGH
LHR13,Chessington,London,18.0,79.74,Excellent,85.28,69.64,15.64,baseline_pue; load_growth_rate; energy_pct_opex,76.51,79.91,76.36,83.13,77.74,81.74,HIGH
The Chess Building,Watford,,31.0,81.84,Excellent,85.69,70.31,15.38,baseline_pue; load_growth_rate; energy_pct_opex,78.74,81.93,78.47,85.2,78.24,82.24,HIGH
LON-1-3,London,N/A,41.0,80.4,Excellent,85.83,70.53,15.3,baseline_pue; load_growth_rate; energy_pct_opex,77.36,80.47,77.04,83.76,78.4,82.4,HIGH
Spring Park,Corsham,South West,55.0,80.53,Excellent,85.93,70.71,15.22,baseline_pue; load_growth_rate; energy_pct_opex,77.53,80.59,77.18,83.88,78.53,82.53,HIGH
QC4 - Montreal II,Pointe-Claire,Quebec,48.0,43.64,Moderate,50.66,35.49,15.17,baseline_pue; load_growth_rate; energy_pct_opex,41.28,44.94,39.9,47.37,41.64,45.64,HIGH
Goldwsworth PArk Trading Estate (LGW14),London,,84.0,80.67,Excellent,86.04,70.89,15.15,baseline_pue; load_growth_rate; energy_pct_opex,77.7,80.7,77.32,84.01,78.67,82.67,HIGH
LGW14,Woking,London,84.0,80.67,Excellent,86.04,70.89,15.15,baseline_pue; load_growth_rate; energy_pct_opex,77.7,80.7,77.32,84.01,78.67,82.67,HIGH
CWL1 Cardiff,Newport,South Wales,148.0,80.77,Excellent,86.13,71.04,15.09,baseline_pue; load_growth_rate; energy_pct_opex,77.84,80.79,77.43,84.11,78.77,82.77,HIGH
Equinix CL 1,Calgary,Alberta,0.8,29.25,Moderate,36.36,21.74,14.62,baseline_pue; load_growth_rate; energy_pct_opex,27.37,30.59,25.54,32.96,27.25,31.25,MEDIUM
CL1,Calgary,Alberta,1.0,29.25,Moderate,36.36,21.74,14.62,baseline_pue; load_growth_rate; energy_pct_opex,27.37,30.59,25.54,32.96,27.25,31.25,MEDIUM
CL2,Calgary,Alberta,2.0,29.25,Moderate,36.36,21.74,14.62,baseline_pue; load_growth_rate; energy_pct_opex,27.37,30.59,25.54,32.96,27.25,31.25,MEDIUM
BCE Richardson,Regina,Saskatchewan,300.0,53.76,Good,59.01,44.93,14.08,baseline_pue; load_growth_rate; energy_pct_opex,52.13,54.9,50.11,57.42,50.16,54.16,MEDIUM
Quebec City (QC2) Data Center Campus,Quebec City,Quebec,86.0,46.1,Moderate,52.68,38.81,13.87,baseline_pue; load_growth_rate; energy_pct_opex,44.45,47.06,42.47,49.71,44.1,48.1,MEDIUM
QC6 - Montreal III,Baie-d'Urfé,Quebec,89.0,46.2,Moderate,52.77,38.95,13.82,baseline_pue; load_growth_rate; energy_pct_opex,44.59,47.15,42.58,49.81,44.2,48.2,MEDIUM
Cologix VAN1,Vancouver,British Columbia,0.75,26.93,Moderate,33.55,20.03,13.52,baseline_pue; load_growth_rate; energy_pct_opex,25.57,27.9,23.32,30.54,24.93,28.93,MEDIUM
Cologix MTL11,Montreal,Quebec,1.0,24.2,Low,30.23,18.01,12.22,baseline_pue; load_growth_rate; energy_pct_opex,23.46,24.73,20.72,27.68,22.2,26.2,MEDIUM
Cologix MTL7,Montreal,Quebec,2.6,24.2,Low,30.23,18.01,12.22,baseline_pue; load_growth_rate; energy_pct_opex,23.46,24.73,20.72,27.68,22.2,26.2,MEDIUM
