Name,City,State,Operator,Size_MW,Latitude,Longitude,Status,Electricity_Price,Composite_Score,Classification,Savings_Per_MW,Payback_Years,OPEX_Impact_Pct,Annual_Energy_Cost,Estimated_Savings,EJ_Demographic_Index,EJ_Energy_Burden_Pct,CO2_Avoided_MT,Water_Saved_Gal,Grid_Relief_Pct,Cars_Equivalent,Homes_Equivalent,Missing_Inputs_Note
Global Hubs - London,London,London,Epsilon,1.4,51.52503825,-0.084904922,Active,0.34,70.37,Good,507817.2,2.11,4.0,7109440.8,710944.08,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Apto DC Madrid Campus,Fuenlabrada,Community of Madrid,Apto,240.0,40.26,-3.82,Construction,0.14,70.16,Good,209101.2,0.03,4.0,501842880.0,50184288.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
11-13 Avenue DEd Arts et MEtiers (PR5),Paris,,Digital Realty,8.4,48.840120236676,2.338391780271055,Active,0.16,70.06,Good,238972.8,0.747,4.0,20073715.2,2007371.52,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Science PArk 121 (AMS9),Amsterdam,,Digital Realty,2.6,52.380733162895474,4.8924582138883554,Active,0.19,68.86,Good,283780.2,2.033,4.0,7378285.2,737828.52,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Evolution DC Bangkok,Bangkok,,Evolution Data Centers,52.0,13.747978728402542,100.51505239433224,Under Construction,0.13,67.83,Good,194165.4,0.149,4.0,100966008.0,10096600.8,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Weismullerstrasse 32-40 (FRA7),Frankfurt,,Digital Realty,1.8,50.09296827786016,8.666058686596271,Active,0.21,67.63,Good,313651.8,2.657,4.0,5645732.4,564573.24,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
SP5x,São Paulo,São Paulo,Equinix,14.4,-23.463,-46.8627,Active,0.1386,67.55,Good,207010.19,0.503,4.0,29809467.07,2980946.71,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
SP2,Osasco,São Paulo,Ascenty,14.0,-23.4910235840639,-46.777683389786,Active,0.1386,67.48,Good,207010.19,0.518,4.0,28981426.32,2898142.63,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
PLN1,Paulinia,São Paulo,Ascenty,13.0,-22.7969446347911,-47.1345730323582,Active,0.1386,67.28,Good,207010.19,0.557,4.0,26911324.44,2691132.44,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Cessnalaan 1-33 AMS3,Amsterdam,,Digital Realty,2.2,52.36456306311244,4.900175846239262,Active,0.19,67.01,Good,283780.2,2.403,4.0,6243164.4,624316.44,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
CyrusOne Mesa,Mesa,AZ,CyrusOne,198.0,33.3462,-111.689,Construction,0.12,66.62,Good,179229.6,0.042,4.0,354874608.0,35487460.8,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Rio de Janeiro 1,Vinhedo,São Paulo,Ascenty,10.0,-23.0297,-46.9753,Active,0.1386,66.44,Good,207010.19,0.725,4.0,20701018.8,2070101.88,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Liverpool City King Edward,Liverpool,"North Wales, Merseyside & Cheshire",Baltic Broadband Limited,1.0,53.4112448170424,-2.99839154587273,Active,0.34,66.15,Good,507817.2,2.954,4.0,5078172.0,507817.2,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
DEN-1,Denver,CO,Iron Mountain,12.3,39.7392,-104.9903,Active,0.1332,66.06,Good,198944.86,0.613,4.0,24470217.29,2447021.73,25.6,2.6,10315.4,93096317.0,0.0167,2242.5,1749.6,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Aligned PHX-02,Phoenix,AZ,Aligned,48.0,33.6535,-112.1132,Active,0.12,65.95,Good,179229.6,0.174,4.0,86030208.0,8603020.8,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Vantage AZ14,Goodyear,AZ,Vantage,48.0,33.4563,-112.3587,Construction,0.12,65.95,Good,179229.6,0.174,4.0,86030208.0,8603020.8,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Stream Goodyear,Goodyear,AZ,Stream Data Centers,48.0,33.4672,-112.3681,Active,0.12,65.95,Good,179229.6,0.174,4.0,86030208.0,8603020.8,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Compass Mesa,Mesa,AZ,Compass Datacenters,48.0,33.3495,-111.6842,Construction,0.12,65.95,Good,179229.6,0.174,4.0,86030208.0,8603020.8,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Digital Realty PHX11,Mesa,AZ,Digital Realty,36.0,33.3471,-111.6861,Active,0.12,65.66,Good,179229.6,0.232,4.0,64522656.0,6452265.6,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
NTT PH1,Mesa,AZ,NTT Data,36.0,33.3481,-111.6878,Active,0.12,65.66,Good,179229.6,0.232,4.0,64522656.0,6452265.6,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Vantage AZ12,Goodyear,AZ,Vantage,32.0,33.4555,-112.3579,Active,0.12,65.52,Good,179229.6,0.262,4.0,57353472.0,5735347.2,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Vantage AZ13,Goodyear,AZ,Vantage,32.0,33.4559,-112.3583,Active,0.12,65.52,Good,179229.6,0.262,4.0,57353472.0,5735347.2,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
QTS PHX2,Phoenix,AZ,QTS,30.0,33.4381,-112.1425,Active,0.12,65.43,Good,179229.6,0.279,4.0,53768880.0,5376888.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
CyrusOne PHX8,Chandler,AZ,CyrusOne,30.0,33.3102,-111.978,Active,0.12,65.43,Good,179229.6,0.279,4.0,53768880.0,5376888.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Aligned PHX-01,Phoenix,AZ,Aligned,30.0,33.6532,-112.1128,Active,0.12,65.43,Good,179229.6,0.279,4.0,53768880.0,5376888.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
GDC Bangkok 3 Data Center,Chon Buri,,NTT Data,12.0,13.373178173866238,100.99485251714012,Active,0.13,65.35,Good,194165.4,0.644,4.0,23299848.0,2329984.8,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
QTS PHX1,Phoenix,AZ,QTS,24.0,33.4378,-112.1421,Active,0.12,65.08,Good,179229.6,0.349,4.0,43015104.0,4301510.4,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
CyrusOne PHX6,Chandler,AZ,CyrusOne,24.0,33.3094,-111.9772,Active,0.12,65.08,Good,179229.6,0.349,4.0,43015104.0,4301510.4,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
CyrusOne PHX7,Chandler,AZ,CyrusOne,24.0,33.3098,-111.9776,Active,0.12,65.08,Good,179229.6,0.349,4.0,43015104.0,4301510.4,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
29-31 FRA12,Frankfurt,,Digital Realty,1.5,50.09473396414663,8.682056154962376,Active,0.21,64.98,Good,313651.8,3.188,4.0,4704777.0,470477.7,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Digital Realty PHX10,Phoenix,AZ,Digital Realty,22.0,33.4524,-112.0731,Active,0.12,64.92,Good,179229.6,0.38,4.0,39430512.0,3943051.2,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
PDX-11,Hillsboro,OR,Digital Realty,54.0,45.5229,-122.9898,Active,0.1136,64.89,Good,169670.69,0.164,4.0,91622171.52,9162217.15,24.1,3.4,23523.4,184317032.0,0.091,5113.9,7681.3,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Multigrid Falun,Falun,,Multigrid,150.0,60.6005,15.6301,Construction,0.11,64.78,Good,164293.8,0.061,4.0,246440700.0,24644070.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
MSP3,Brooklyn Park,MN,DataBank,9.0,45.1439083899976,-93.3871858224896,Active,0.1322,64.73,Good,197451.28,0.844,4.0,17770614.84,1777061.48,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
CyrusOne PHX5,Chandler,AZ,CyrusOne,20.0,33.309,-111.9768,Active,0.12,64.73,Good,179229.6,0.418,4.0,35845920.0,3584592.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
DAMAC Digital Bangkok,Bangkok,,DAMAC Digital,10.0,13.75146958307395,100.5169263509311,Planned,0.13,64.71,Good,194165.4,0.773,4.0,19416540.0,1941654.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Meta Luleå,Luleå,,Meta,120.0,65.6183,22.1306,Active,0.11,64.7,Good,164293.8,0.076,4.0,197152560.0,19715256.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
PNW1,Quincy,WA,CyrusOne,90.0,47.24403,-119.87,Active,0.11,64.58,Good,164293.8,0.101,4.0,147864420.0,14786442.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
EcoDataCenter Falun,Falun,,EcoDataCenter,90.0,60.6028,15.6328,Active,0.11,64.58,Good,164293.8,0.101,4.0,147864420.0,14786442.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Telehouse Bangkok,Bangkok,,KDDI,9.5,13.764917501458605,100.49515271256654,Active,0.13,64.5,Good,194165.4,0.813,4.0,18445713.0,1844571.3,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
CyrusOne PHX3,Chandler,AZ,CyrusOne,18.0,33.3082,-111.976,Active,0.12,64.5,Good,179229.6,0.465,4.0,32261328.0,3226132.8,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
CyrusOne PHX4,Chandler,AZ,CyrusOne,18.0,33.3086,-111.9764,Active,0.12,64.5,Good,179229.6,0.465,4.0,32261328.0,3226132.8,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Iron Mountain AZP-2,Phoenix,AZ,Iron Mountain,18.0,33.4492,-112.0748,Active,0.12,64.5,Good,179229.6,0.465,4.0,32261328.0,3226132.8,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
EcoDataCenter Horndal,Horndal,,EcoDataCenter,75.0,60.2952,16.4285,Active,0.11,64.48,Good,164293.8,0.122,4.0,123220350.0,12322035.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Microsoft Gävle,Gävle,,Microsoft,60.0,60.6745,17.1413,Active,0.11,64.32,Good,164293.8,0.152,4.0,98576280.0,9857628.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
SDC Seattle,Seattle,WA,Sabey,54.0,47.493,-122.294,Active,0.11,64.24,Good,164293.8,0.169,4.0,88718652.0,8871865.2,25.9,2.5,23523.4,184317032.0,0.038,5113.9,7681.3,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Vantage AZ11,Goodyear,AZ,Vantage,16.0,33.4551,-112.3575,Active,0.12,64.21,Good,179229.6,0.523,4.0,28676736.0,2867673.6,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
H5 Phoenix,Chandler,AZ,H5,16.0,33.2885,-111.8941,Active,0.12,64.21,Good,179229.6,0.523,4.0,28676736.0,2867673.6,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Parkwest Industiral Estate DUB1,Dublin,,Digital Realty,1.0,53.33815262130722,-6.271608968899659,Active,0.3,64.18,Good,448074.0,3.348,4.0,4480740.0,448074.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Calle de Emilio Munoz 49-51 MAD3,Madrid,,Digital Realty,5.8,40.414179968255425,-3.7184450246573806,Active,0.14,64.13,Good,209101.2,1.237,4.0,12127869.6,1212786.96,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Tamboré,São Paulo,São Paulo,NextStream,6.1,-23.4684666,-46.85006472,Active,0.1386,64.13,Good,207010.19,1.188,4.0,12627621.47,1262762.15,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
CyrusOne PHX1,Chandler,AZ,CyrusOne,15.0,33.3074,-111.9752,Active,0.12,64.04,Good,179229.6,0.558,4.0,26884440.0,2688444.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
CyrusOne PHX2,Chandler,AZ,CyrusOne,15.0,33.3078,-111.9756,Active,0.12,64.04,Good,179229.6,0.558,4.0,26884440.0,2688444.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
PhoenixNAP Phoenix,Phoenix,AZ,PhoenixNAP,15.0,33.4219,-111.9901,Active,0.12,64.04,Good,179229.6,0.558,4.0,26884440.0,2688444.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
SP1,Osasco,São Paulo,Ascenty,6.0,-23.4910235840639,-46.777683389786,Active,0.1386,64.03,Good,207010.19,1.208,4.0,12420611.28,1242061.13,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Microsoft Sandviken,Sandviken,,Microsoft,40.0,60.6166,16.772,Active,0.11,63.94,Good,164293.8,0.228,4.0,65717520.0,6571752.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
HostDime Brazil,São Paulo,São Paulo,HostDime,5.9,-23.59767943,-46.84876326,Active,0.1386,63.93,Good,207010.19,1.228,4.0,12213601.09,1221360.11,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Col-3,Columbus,OH,Cologix,18.0,40.12,-83.0,Active,0.1155,63.63,Good,172508.49,0.483,4.0,31051528.2,3105152.82,23.4,3.3,14087.2,211063824.0,0.01,3062.5,2560.4,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
atNorth SWE02,Kista,Stockholm,atNorth,30.0,59.4022,17.9488,Construction,0.11,63.56,Good,164293.8,0.304,4.0,49288140.0,4928814.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Théséé Data Center 2,Paris,Île-de-France,Théséé Data Center,3.0,48.77,2.06,Construction,0.16,63.34,Good,238972.8,2.092,4.0,7169184.0,716918.4,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Iron Mountain AZP-1,Phoenix,AZ,Iron Mountain,12.0,33.4485,-112.074,Active,0.12,63.34,Good,179229.6,0.697,4.0,21507552.0,2150755.2,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Calle de Alfonso Gomez MAD4,Madrid,,Digital Realty,5.0,40.4066565216595,-3.697189337136224,Active,0.14,63.14,Good,209101.2,1.435,4.0,10455060.0,1045506.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
MAA10,Chennai,Tamil Nadu,Digital Realty,150.0,13.09935897,80.17211618,Active,0.1,63.01,Good,149358.0,0.067,4.0,224037000.0,22403700.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
MU1,Mumbai,Maharashtra,Princeton Digital Group,150.0,19.16745184,72.9907507,Active,0.1,63.01,Good,149358.0,0.067,4.0,224037000.0,22403700.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
SUPERNAP 9,Las Vegas,NV,Switch,150.0,36.06,-115.22,Active,0.0991,62.85,Good,148013.78,0.068,4.0,222020667.0,22202066.7,37.2,2.7,65342.7,511991756.0,0.2422,14205.3,21336.9,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Industriparken 24 CPH3,Ballerup,,Digital Realty,4.8,55.715000967453896,12.374260171393063,Active,0.14,62.84,Good,209101.2,1.494,4.0,10036857.6,1003685.76,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
SEA10,Seattle,WA,Digital Realty,19.5,47.6145281546855,-122.338872762633,Active,0.11,62.74,Good,164293.8,0.468,4.0,32037291.0,3203729.1,25.9,2.5,8494.5,66558928.0,0.0137,1846.7,2773.8,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
TOR1,Vaughan,Ontario,Digital Realty,39.0,43.7792979206063,-79.5396278091949,Active,0.1037,62.74,Good,154884.25,0.248,4.0,60404855.94,6040485.59,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Richmond 1,Richmond,VA,QTS Data Centers,238.0,37.49,-77.24527,Active,0.0973,62.65,Good,145325.33,0.043,4.0,345874294.92,34587429.49,28.9,2.9,104370.4,2355571020.0,0.1677,22689.8,33854.5,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Iron Mountain AZS-1,Scottsdale,AZ,Iron Mountain,10.0,33.5795,-111.8895,Active,0.12,62.64,Good,179229.6,0.837,4.0,17922960.0,1792296.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
7-9 avenue des Arts et MEtiers PAR3,Paris,,Digital Realty,2.8,48.86172113256364,2.34726499320402,Active,0.16,62.59,Good,238972.8,2.242,4.0,6691238.4,669123.84,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Bengaluru 4,Bengaluru,Karnataka,NTT Data,67.2,13.19338634,77.64465987,Construction,0.1,62.59,Good,149358.0,0.149,4.0,100368576.0,10036857.6,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
NM1,Mumbai,Maharashtra,Yotta,52.0,18.92254853,73.20207231,Active,0.1,62.38,Good,149358.0,0.193,4.0,77666160.0,7766616.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
HYD11,Hyderabad,Telangana,Microsoft,48.0,17.23177025,78.19127512,Construction,0.1,62.3,Good,149358.0,0.209,4.0,71691840.0,7169184.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
SUPERNAP 8,Las Vegas,NV,Switch,50.0,36.06,-115.21,Active,0.0991,62.17,Good,148013.78,0.203,4.0,74006889.0,7400688.9,37.2,2.7,21780.9,170663919.0,0.0807,4735.1,7112.3,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
NVA06,Leesburg,VA,STACK Infrastructure,72.0,39.08,-77.56,Active,0.0973,62.15,Good,145325.33,0.143,4.0,104634240.48,10463424.05,28.9,2.9,31574.2,712609720.0,0.0507,6864.1,10241.7,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
IAD5,Culpeper,VA,DataBank,72.0,38.45016,-77.98,Construction,0.0973,62.15,Good,145325.33,0.143,4.0,104634240.48,10463424.05,28.9,2.9,31574.2,712609720.0,0.0507,6864.1,10241.7,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
QTS Ashburn DC1,Ashburn,VA,QTS,72.0,39.0088,-77.4612,Active,0.0973,62.15,Good,145325.33,0.143,4.0,104634240.48,10463424.05,28.9,2.9,31574.2,712609720.0,0.0507,6864.1,10241.7,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Equinix SK2,Skondal,,Equinix,15.0,59.26666255416463,18.11497427694672,Active,0.11,62.04,Good,164293.8,0.609,4.0,24644070.0,2464407.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
IAD-01,Ashburn,VA,Aligned Data Centers,60.0,39.01376,-77.4688,Active,0.0973,62.01,Good,145325.33,0.172,4.0,87195200.4,8719520.04,28.9,2.9,26311.9,593841434.0,0.0423,5720.1,8534.7,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Iron Mountain VA-1,Manassas,VA,Iron Mountain,60.0,38.791,-77.5095,Active,0.0973,62.01,Good,145325.33,0.172,4.0,87195200.4,8719520.04,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
MN01,Minneapolis,MN,US Signal,5.4,44.8773,-93.4078,Active,0.1322,61.92,Good,197451.28,1.407,4.0,10662368.9,1066236.89,19.6,2.8,3667.5,43079358.0,0.0062,797.3,768.1,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
AWS IAD105,Manassas,VA,Amazon Web Services,50.0,38.776,-77.4691,Active,0.0973,61.84,Good,145325.33,0.206,4.0,72662667.0,7266266.7,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
RCH-1,Richmond,VA,Iron Mountain,48.0,37.49,-77.24,Construction,0.0973,61.8,Good,145325.33,0.215,4.0,69756160.32,6975616.03,28.9,2.9,21049.5,475073147.0,0.0338,4576.1,6827.8,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Vantage VA11,Ashburn,VA,Vantage,48.0,39.0332,-77.4903,Active,0.0973,61.8,Good,145325.33,0.215,4.0,69756160.32,6975616.03,28.9,2.9,21049.5,475073147.0,0.0338,4576.1,6827.8,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Vantage VA12,Ashburn,VA,Vantage,48.0,39.0335,-77.4905,Active,0.0973,61.8,Good,145325.33,0.215,4.0,69756160.32,6975616.03,28.9,2.9,21049.5,475073147.0,0.0338,4576.1,6827.8,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Urbacon DC Toronto DC7,Toronto,Ontario,Urbacon Data Centres,22.0,43.74,-79.62,Active,0.1037,61.79,Good,154884.25,0.44,4.0,34074534.12,3407453.41,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
CHN 1,Chennai,Tamil Nadu,L&T Vyoma,30.0,12.90078209,79.8097969,Active,0.1,61.67,Good,149358.0,0.335,4.0,44807400.0,4480740.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Red Oak,Red Oak,TX,Compass Datacenters,360.0,32.537,-96.8049,Active,0.0912,61.66,Good,136214.5,0.031,4.0,490372185.6,49037218.56,42.6,3.3,199235.2,2418147840.0,0.0745,43313.1,51208.5,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
EdgeConneX PHX01,Tempe,AZ,EdgeConneX,8.0,33.3935,-111.9663,Active,0.12,61.6,Good,179229.6,1.046,4.0,14338368.0,1433836.8,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
AWS IAD50,Ashburn,VA,Amazon Web Services,40.0,39.0167,-77.4755,Active,0.0973,61.58,Good,145325.33,0.258,4.0,58130133.6,5813013.36,28.9,2.9,17541.2,395894289.0,0.0282,3813.4,5689.8,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
AWS IAD60,Ashburn,VA,Amazon Web Services,40.0,39.0169,-77.4757,Active,0.0973,61.58,Good,145325.33,0.258,4.0,58130133.6,5813013.36,28.9,2.9,17541.2,395894289.0,0.0282,3813.4,5689.8,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
151 Front St,Toronto,Ontario,Telehouse,20.0,43.64502988,-79.38419266,Active,0.1037,61.57,Good,154884.25,0.484,4.0,30976849.2,3097684.92,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
AWS IAD10,Sterling,VA,Amazon Web Services,36.0,39.0225,-77.444,Active,0.0973,61.44,Good,145325.33,0.287,4.0,52317120.24,5231712.02,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
QTS Manassas DC1,Manassas,VA,QTS,36.0,38.7485,-77.4812,Active,0.0973,61.44,Good,145325.33,0.287,4.0,52317120.24,5231712.02,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Sabey Ashburn SDC1,Ashburn,VA,Sabey,36.0,39.0039,-77.4739,Construction,0.0973,61.44,Good,145325.33,0.287,4.0,52317120.24,5231712.02,28.9,2.9,15787.1,356304860.0,0.0254,3432.1,5120.8,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
MSP-2,Eagan,MN,DataBank,5.0,44.84,-93.15,Active,0.1322,61.36,Good,197451.28,1.519,4.0,9872563.8,987256.38,19.6,2.8,3395.9,39888294.0,0.0057,738.2,711.2,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
STO01A Vaultica Data Centers,Vasby,,Vaultica,12.0,59.52530682093164,17.911328875143774,Active,0.11,61.28,Good,164293.8,0.761,4.0,19715256.0,1971525.6,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
atNorth SWE01,Kista,,atnorth,12.0,59.40795252707797,17.933955497115683,Active,0.11,61.28,Good,164293.8,0.761,4.0,19715256.0,1971525.6,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Digital Realty STO6,Kista,Stockholm,Digital Realty,12.0,59.4042,17.9488,Active,0.11,61.28,Good,164293.8,0.761,4.0,19715256.0,1971525.6,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Equinix DC22,Ashburn,VA,Equinix,32.0,39.0122,-77.4664,Active,0.0973,61.26,Good,145325.33,0.323,4.0,46504106.88,4650410.69,28.9,2.9,14033.0,316715431.0,0.0225,3050.7,4551.9,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
CN1,Chennai,Tamil Nadu,Equinix,24.0,12.81935988,80.22152652,Active,0.1,61.25,Good,149358.0,0.418,4.0,35845920.0,3584592.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Chennai II,Chennai,Tamil Nadu,Nxtra,24.0,12.82281,80.21360162,Active,0.1,61.25,Good,149358.0,0.418,4.0,35845920.0,3584592.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Equinix DC21,Ashburn,VA,Equinix,30.0,39.0121,-77.4662,Active,0.0973,61.15,Good,145325.33,0.344,4.0,43597600.2,4359760.02,28.9,2.9,13155.9,296920717.0,0.0211,2860.1,4267.4,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
CoreSite VA3,Reston,VA,CoreSite,30.0,38.9561,-77.3567,Active,0.0973,61.15,Good,145325.33,0.344,4.0,43597600.2,4359760.02,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
CyrusOne Sterling I,Sterling,VA,CyrusOne,30.0,39.0161,-77.4161,Active,0.0973,61.15,Good,145325.33,0.344,4.0,43597600.2,4359760.02,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
CyrusOne Sterling II,Sterling,VA,CyrusOne,30.0,39.0152,-77.4134,Active,0.0973,61.15,Good,145325.33,0.344,4.0,43597600.2,4359760.02,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
